FID,Name,LH_MED,LH_1693,LH_1753,LH_1831,REACH_1831,LH_1851,REACH_1851,LH_1911,REACH_1911,Height,YearBuilt,POINT_X,POINT_Y
588,StNicholasChapel,1,0,0,0,0,0,0,0,0,0,0,151893.80,41214.62
589,Unnamed1_Beacon,0,0,1,0,0,0,0,1,0,0,1865,637993.76,152748.33
590,HorseSand,0,0,0,0,0,0,0,1,0,0,1866,465434.57,94913.83
591,Lowestoft,0,2,2,2,16,1,18,2,17,119,1609,655446.45,293704.34
592,Lynn,0,0,0,0,0,0,0,2,5,0,1868,558687.78,326261.80
593,TynemouthSouthPier,0,0,0,0,0,0,0,1,7,0,1882,438259.46,568739.42
594,Morecambe,0,0,0,0,0,0,0,3,8,0,1851,342449.57,464777.95
595,Lynmouth,0,0,0,0,0,0,0,1,10,0,1890,275309.54,151171.29
596,BishopRock,0,0,0,0,0,1,0,1,18,134,1851,80644.14,6512.64
597,PointAyr,0,0,0,2,11,1,10,0,0,0,1776,312286.24,385072.30
598,BirkenheadWallasay,0,0,0,0,0,0,0,3,0,0,0,332547.44,390863.07
599,BirkenheadWoodsideFerry,0,0,0,0,0,0,0,6,0,0,0,332977.33,389284.12
600,BirkenheadNewFerry,0,0,0,0,0,0,0,1,0,0,0,333811.50,386133.89
601,BirkenheadRockFerry,0,0,0,0,0,0,0,1,0,0,0,333827.53,386894.56
602,AyrePoint,0,0,0,1,15,1,10,2,16,0,1811,332967.78,388457.21
